,count,values
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.encounter.participant.participantRole.code.code,12,['1212-0']
ClinicalDocument.component.structuredBody.component.section.component.section.text.list.item.@value,10,"['0 mL or less', '1 Gm Ancef', '1% tincture of Iodine', '10 mL or less', '25 mL or less', 'Acute Knee Injury', 'Anti Embolism Stockings (TED Stockings)', 'Antibiotic', 'Antibiotic administered within one hour of surgical incision', 'Antiseptic applied', 'Appropriate draping', 'Betadine', 'Biopsy proven malignancy', 'Bone', 'Cartilage', 'Class I.  Normal healthy patient', 'Class II.  Patient with mild systemic disease', 'Clipped', 'Complete tear of ACL', 'Correct x 2', 'Discomfort', 'Draped in a Sterile Fashion', 'Enlarging mass', 'Femoral nerve block', 'Femoral trochlea normal', 'General', 'Home', 'Increased body mass index', 'Indirect hernia', 'Instability', 'Knee Pain, Acute', 'Local', 'Lumpectomy specimen oriented for margins', 'Monitored Anesthesia Care (MAC)', 'No Polyps', 'No complications', 'No signs of Cancer', 'No unusual findings', 'None', 'Normal Colon', 'Not applicable', 'Operating microscope drawn into place', 'Pain', 'Palpable mass excised with grossly clear margins, confirmed by pathology', 'Patient tolerated procedure well.', 'Patient tolerated procedure well.\n\nFollow up in 48 hours Patient to resume preoperative eye drops and oral medications', 'Patient tolerated procedure well.  Follow up in 2 weeks.', 'Posterior horn of medial meniscus tear noted', 'Posterior surface of patella normal', 'Prepped and draped in standard sterile fashion', 'Prone', 'Prophylactic antibiotic', 'Propofol given in divided doses and titrated to effect', 'Regional, Peripheral Nerve Blocks', 'Sac sent to pathology', 'See anesthesia report', 'See diagnosis', 'Sent to pathology', 'Sentinel node negative by frozen section', 'Sentinel node, negative on frozen section', 'Stable', 'Stiffness', 'Supine', 'Suprapatellar pouch revealed hemosiderin staining', 'Surgical day care recovery', 'Swelling', 'Synovium', 'Tibial end remaining', 'Topical', 'Total dose of 400 mg Propofol', 'Yes: Indications for surgical procedure, risks, benefits, possible complications explained to patient including alternatives in treatment.  Patient had the chance to ask questions and all were answered to their satisfaction.  Patient understood and gave consent.']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.author.assignedAuthor.assignedPerson.name.given.nullFlavor,2,['NAV']
ClinicalDocument.componentOf.encompassingEncounter.code.codeSystemName,14,"['CPT-4', 'SNOMED-CT']"
ClinicalDocument.author.typeCode,42,['AUT']
ClinicalDocument.component.structuredBody.component.section.entry.observation.participant.templateId.root,2,['2.16.840.1.113883.10.20.1.58']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.performer.assignedEntity.representedOrganization.telecom.use,2,['WP']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.nullFlavor,4,['NI']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.id.extension,20,"['1111111111', '1569874562', '36', '42', '5860476014', '6257677609']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.informant.assignedEntity.id.root,2,"['10a7fa48-bc53-4c1e-9fb8-f526ae9f16e4', '1f27f926-2b54-40bc-8e3d-d658800a31bd', '3b98e97f-d0ef-4679-88ca-c85f18d548be', '75214420-ca98-4672-9c36-aed8cb79d21f', 'f9fca48b-f753-4996-8e82-e2f196991cff', 'fba4ae70-38da-4671-87f1-8996c81a6922']"
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.representedOrganization.telecom.value,208,"['tel:+1-555-555-5000', 'tel:+1-916-555-7654', 'tel:+1-916-555-7657']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.performer.assignedEntity.addr.nullFlavor,10,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.representedOrganization.addr.streetAddressLine.@value,156,"['101 Maple Street', '1044 Healthcare\n                                                Drive', '1044 Healthcare Drive', '123 Road', '1234 test', '99 Sycamore Street', 'Suite 3']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.procedure.code.displayName,2,"['CBC WITH DIFFERENTIAL/PLATELET', 'CBC w/ Differential & Platelet', 'Cl+K+Na', 'HFP7+3AC', 'Hematocrit', 'RPR', 'THYROID PANEL WITH TSH', 'Urinalysis']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.id.nullFlavor,54,"['NI', 'UNK']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.codeSystemName,294,"['NDF-RT', 'RxNorm', 'UNII']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.displayName,244,"['ARTHRP KNE CONDYLE+PLATU MEDIAL+LAT COMPARTMENTS', 'Arthritis panel', 'Barium enema', 'Behav chng smoking 3-10 min', 'Bone imaging, limited area', 'CABG, arterial, three', 'CHEST X-RAY, PA AND LATERAL (71020)', 'CHEST XRAY, PA & LATERAL (71020)', 'CHOLECYSTECTOMY', 'CORONARY ARTERY BYPASS 3 CORONARY VENOUS GRAFTS', 'Cardiac ejection fraction, function', 'Cardiac monitoring', 'Cervical biopsy/local excision of lesion', 'Chest X-Ray', 'Chest X-Ray, PA and Lateral Views', 'Chest X-Ray, PA and Lateral Views; Body site: lower respiratory tract structure', 'Colonic polypectomy', 'Colonoscopy', 'Colonoscopy, flexible, proximal to splenic flexure; diagnostic, with or without collection of specimen(s) by brushing or washing, with or without colon decompression (separate procedure)', 'Contraceptive use education', 'Coronary artery dilation', 'Diabetic foot examination', 'Diagnostic colonoscopy', 'Diagnostic sigmoidoscopy', 'EKG', 'Electrocardiographic procedure (procedure)', 'Exercise class', 'Extensive prostate surgery', 'Eye exam established pat', 'Flu vacc cell cult prsv free', 'Hematocrit', 'Hemodialysis, one evaluation', 'Hemoglobin', 'ICAPSULAR CATARACT XTRJ INSJ IO LENS PRSTH 1 STG', 'Injection for heart x-rays', 'Intranasal oxygen therapy (procedure)', 'Lipid panel', 'Mammogram, screening', 'Medical nutrition, indiv, in', 'Nipple/areola reconstruction', 'Non-high-risk proliferative diabetic retinopathy with clinically significant macular edema', 'Obstetrical care', 'Ophthalmic examination and evaluation', 'PET img whbd ring dx colorec', 'PNEUMOCOCCAL VACCINE (90732)', 'Patient referral to dietitian', 'Peak expiratory flow rate monitoring using diary', 'Pneumococcal vacc, ped<5', 'Radical mastectomy including pectoral muscles and axillary lymph nodes', 'Radiographic procedure', 'Severe nonproliferative diabetic retinopathy', 'Special radiation treatment', 'Sputum, obtaining specimen, aerosol induced technique (separate procedure)', 'Standard chest X-ray (procedure)', 'TCAT PLMT IV STENT PERCUTANEOUS 1ST VESSEL', 'TONSILLECTOMY ONE-HALF UNDER AGE 12', 'Total hysterectomy', 'Urinalysis', 'Urinalysis (Dipstick, with microscopy)', 'X ray of sternoclavicular joints, 3 views', 'X-ray exam of spine', 'history of prior surgery   [For Hx of Tx, use H prefix]', 'reported medical history']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.act.participant.templateId.assigningAuthorityName,2,['Covered Party Participant']
ClinicalDocument.authenticator.assignedEntity.assignedPerson.name.given.@value,258,"['Aaron', 'Bruce', 'Data', 'Henry', 'Jim', 'K', 'Karen', 'L', 'Martin', 'NextGen', 'Samir', 'Stanley']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.encounter.code.codeSystemName,20,"['ActEncounterCode', 'LOINC', 'SNOMED CT']"
ClinicalDocument.recordTarget.patientRole.providerOrganization.determinerCode,26,['INSTANCE']
ClinicalDocument.component.structuredBody.component.section.entry.act.informant.assignedEntity.representedOrganization.addr.state.@value,2,['FL']
ClinicalDocument.author.assignedAuthor.representedOrganization.addr.state.@value,64,"['DC', 'OR', 'PA']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.author.assignedAuthor.addr.city.@value,4,"['Cary', 'Portland']"
ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.observation.effectiveTime.low.nullFlavor,2,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.act.effectiveTime.high.value,2,"['20070201', '20071005', '20071102', '20080108']"
ClinicalDocument.componentOf.encompassingEncounter.encounterParticipant.assignedEntity.id.nullFlavor,2,['NI']
ClinicalDocument.code.codeSystemName,328,['LOINC']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.precondition.criterion.value.displayName,4,['Wheezing']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.effectiveTime.value,220,"['20000407', '20070531100000', '20070815100000', '20090401100000', '20090416100000', '20090419100000', '20090521100000', '20090707100000', '20090710100000', '20090711100000', '20090714100000', '20090720100000', '20090723100000', '20090916100000', '20090920100000', '20090925100000', '20091202100000', '20091205100000', '20091218100000', '20100102100000', '20100129100000', '20100210100000', '20100320100000', '20100331100000', '20100401100000', '20100402100000', '20100403100000', '20100404100000', '20100405100000', '20100406100000', '20100408100000', '20100409100000', '20100410100000', '20100411100000', '20100413100000', '20100414100000', '20100415100000', '20100416100000', '20100418100000', '20100424100000', '20100425100000', '20100426100000', '20100428100000', '20100430100000', '20100501100000', '20100502100000', '20100503100000', '20100504100000', '20100505100000', '20100506100000', '20100507100000', '20100510100000', '20100513100000', '20100515100000', '20100516100000', '20100517100000', '20100519100000', '20100520100000', '20100522100000', '20100524100000', '20100525100000', '20100526100000', '20100528100000', '20100530100000', '20100531100000', '20100601100000', '20100602100000', '20100605100000', '20100606100000', '20100608100000', '20100609100000', '20100610100000', '20100611100000', '20100612100000', '20100613100000', '20100615100000', '20100616100000', '20100618100000', '20100620100000', '20100622100000', '20100623100000', '20100625100000', '20100626100000', '20100627100000', '20100628100000', '20100629100000', '20100630100000', '20100701100000', '20100702100000', '20100703100000', '20100705100000', '20100707100000', '20100708100000', '20100709100000', '20100710100000', '20100711100000', '20100712100000', '20100713100000', '20100715100000', '20100716100000', '20100717100000', '20100718100000', '20100720100000', '20100723100000', '20100725100000', '20100727100000', '20100730100000', '20100801100000', '20100802100000', '20100804100000', '20100805100000', '20100806100000', '20100807100000', '20100808100000', '20100809100000', '20100810100000', '20100811100000', '20100812100000', '20100813100000', '20100815100000', '20100816100000', '20100818100000', '20100820100000', '20100822100000', '20100823100000', '20100825100000', '20100826100000', '20100831100000', '20100901100000', '20100902100000', '20100903100000', '20100904100000', '20100905100000', '20100906100000', '20100907100000', '20100908100000', '20100909100000', '20100910100000', '20100911100000', '20100913100000', '20100914100000', '20100915100000', '20100916100000', '20100917100000', '20100919100000', '20100920100000', '20100924100000', '20100925100000', '20100927100000', '20100929100000', '20100930100000', '20101001100000', '20101004100000', '20101005100000', '20101010100000', '20101011100000', '20101012100000', '20101013100000', '20101014100000', '20101015100000', '20101016100000', '20101018100000', '20101020100000', '20101021100000', '20101022100000', '20101023100000', '20101024100000', '20101025100000', '20101026100000', '20101027100000', '20101101100000', '20101102100000', '20101105100000', '20101106100000', '20101107100000', '20101108100000', '20101109100000', '20101110100000', '20101114100000', '20101115100000', '20101116100000', '20101118100000', '20101120100000', '20101122100000', '20101124100000', '20101125100000', '20101130100000', '20101201100000', '20101202100000', '20101203100000', '20101204100000', '20101205100000', '20101206100000', '20101210100000', '20101212100000', '20101213100000', '20101215100000', '20101227100000', '20101230100000', '20101231100000', '20110113100000', '20110125100000', '20110207100000', '20110216100000', '20110326100000', '20110501100000', '20110628100000', '20111209100000', '20120806', '20120811', '20120827', '20140212130114', '20140212130251', '20140212130333', '20140212130357', '20140212130431']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.code.codeSystemName,94,"['ActCode', 'HL7 ActCode', 'HL7ActCode', 'SNOMED', 'SNOMED CT', 'SNOMED-CT', 'SNOMEDCT']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.act.entryRelationship.act.id.root,4,"['2.16.840.1.113883.3.140.1.0.6.10.6.5', 'f4dce790-8328-11db-9fe1-0800200c9a66']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.specimen.specimenRole.specimenPlayingEntity.code.code,12,['309226005']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.dischargeDispositionCode.code,2,['01']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.effectiveTime.high.nullFlavor,32,"['NI', 'UNK']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.informant.assignedEntity.representedOrganization.addr.country.@value,2,['US']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.classCode,298,['MANU']
ClinicalDocument.informationRecipient.intendedRecipient.addr.use,2,['H']
ClinicalDocument.component.structuredBody.component.section.entry.act.informant.assignedEntity.id.root,2,"['49c45aef-8747-441c-af2e-e756edc65fcc', '8fe1c0c2-94d3-456a-be32-10b503d9bb8c']"
ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.observation.entryRelationship.observation.code.codeSystem,2,['1.2.840.10008.2.6.1']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.precondition.criterion.code.codeSystem,14,['2.16.840.1.113883.5.4']
ClinicalDocument.component.structuredBody.component.section.component.section.entry.act.templateId.root,10,['2.16.840.1.113883.10.20.6.2.5']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.author.assignedAuthor.addr.streetAddressLine.nullFlavor,28,['UNK']
ClinicalDocument.author.assignedAuthor.representedOrganization.addr.state.nullFlavor,10,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.author.assignedAuthor.addr.state.@value,2,['OR']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.entryRelationship.procedure.targetSiteCode.displayName,10,"['Abdominal Structure', 'Lower Respiratory Tract Structure']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.value.codeSystem,86,['2.16.840.1.113883.6.96']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.entryRelationship.encounter.moodCode,4,['EVN']
ClinicalDocument.recordTarget.patientRole.addr.state.nullFlavor,12,['UNK']
ClinicalDocument.informant.assignedEntity.addr.postalCode.@value,248,"['02368', '97005', '97266', '99123']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.code.codeSystem,26,['2.16.840.1.113883.5.4']
ClinicalDocument.componentOf.encompassingEncounter.responsibleParty.assignedEntity.assignedPerson.name.suffix.@value,14,"['M.D.', 'MD']"
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.addr.streetAddressLine.@value,264,"['(816)201-1190   Fax (816)571-1190', '1001 Village Avenue', '1002 Healthcare Dr', '1002 Healthcare Dr.', '1002 Healthcare Drive', '1004 Healthcare Dr', '1004 Healthcare Dr.', '1006 Healthcare Dr', '1006 Healthcare Drive', '1009 Healthcare Dr.', '1034 Healthcare Dr.', '1044 Healthcare Dr', '1044 Healthcare Dr.', '1047 Healthcare Drive', '111 BOYLSTON STREET', '11554 Weedside Lane', '123 Main St', '123 maine st', '1400 Main Street Ste G', '209 County Line Rd', '2800 Rockcreek Parkway', '34 Sycamore Street', '4444 Hospital Way', '5555 Waverly Way', '8620 Palmetto Drive', '87 Bayshore Drive', '987 Anymed Way', 'Base Physician Office', 'Community General Hospital', 'Get Well Clinic', 'Get Well Clinic 1002 Healthcare Dr.', 'Get Well Clinic, 1002 Healthcare Dr', 'Local Community Hospital', 'Suite 3', 'allscripts Rd']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.effectiveTime.high.nullFlavor,278,"['NI', 'UNK']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.author.assignedAuthor.id.nullFlavor,2,['NI']
ClinicalDocument.dataEnterer.assignedEntity.addr.country.@value,232,"['US', 'USA', 'United States of America']"
ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.addr.use,238,"['H', 'HP', 'WP']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.encounter.id.extension,2,['5283815']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.addr.state.@value,20,"['CA', 'MO', 'NC', 'OR']"
ClinicalDocument.component.structuredBody.component.section.entry.observation.author.assignedAuthor.id.extension,4,"['1569874562', '5860476014']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.assignedPerson.name.suffix.@value,6,"['MD', 'OD']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.moodCode,316,['EVN']
ClinicalDocument.authenticator.assignedEntity.representedOrganization.telecom.value,2,['tel:+1-2156577010']
ClinicalDocument.authenticator.assignedEntity.telecom.nullFlavor,6,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.performer.assignedEntity.addr.nullFlavor,2,['NI']
ClinicalDocument.recordTarget.patientRole.providerOrganization.addr.city.nullFlavor,2,['NI']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.informant.assignedEntity.telecom.use,2,['WP']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.effectiveTime.phase.low.inclusive,2,['true']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.code.displayName,46,"['Any Age Mixed Acuity Unit', 'Family Medicine Clinic', 'General Acute Care Hospital', 'Inpatient Medical/Surgical Ward', ""Provider's Office"", 'Urgent Care Center']"
ClinicalDocument.component.structuredBody.component.section.text.list.item.content.@value,48,"[' 1900 to 25-Sep-1999', ' 25-Sep-1800 to 25-Sep-1899', ' Started 1984', ' Started 2011', ' Started 2012', ' Started 9-Mar-2011', '1. Take all medications as prescribed\n2. No heavy lifting, straining, or nose blowing\n3. If you experience any of the following symptoms, call your primary care physician or return to the Emergency Room:\n - Chest pain\n - Shortness of breath\n - Dizziness or light-headedness\n - Intractable nausea or vomiting\n - High fever\n - Uncontrollable bleeding\n - Pain or redness at the site of any previous intravenous catheter\n - Any other unusual symptoms\n4. Schedule a follow up appointment with your primary care physician in one week', '1. Take all medications as prescribed\n2. No vigorous exercise\n3. If you experience any of the following symptoms, call your primary care physician or return to the emergency room:\na. Chest pain\nb. Shortness of breath\nc. Dizziness or light-headedness\nd. Pain or redness at the site of any previous intravenous catheter\ne. Any other unusual symptoms\n4. Schedule a follow up appointment with your primary care physician in one week.', '50 pack year smoking history, quit 1997', 'Aleve - 220mg by mouth twice daily', 'Allergy to Bee Pollen', 'Allergy to Penicillin drugs', 'Ambien - 5mg by mouth once daily before bed', 'Angioplasty with Stent Placement (2002/08/01)', 'Aortic Valve - 1.5 cm2, Stage II diastolic dysfunction (abnormal)', 'Aspirin - 81mg by mouth once daily', 'Assessment excluded/not available', 'Asthma : Status - Active', 'Asthma Management resources and instructions provided during admission', 'Ativan - 1mg by mouth three times daily as needed for irritability', 'Atrial fibrillation', 'BMI - 31.56 kg/m2 (normal)', 'BP Diastolic - 90 mmHg (normal)', 'BP Systolic - 175 mmHg (normal)', 'Benign prostatic hyperplasia', 'Body Temp - 97.9 degF (normal)', 'CHEST X-RAY, PA AND LATERAL (71020)', 'CO2; Done: 11 Jul 2013', 'Cataract Removal (2004/02/01)', 'Chills, 2 days', 'Cholecystectomy (2006/06/01)', 'Chronic Kidney Disease Stage III', 'Cigarette smoker', 'Community acquired ... : Breathing Exercises: breathing exercises', 'Community acquired ... : DISCONTINUED - HGB (HEMOGLOBIN) (85018)', 'Community acquired ... : Pneumococcal Pneumonia Shot *: immunization', 'Community acquired ... : Pneumonia *: coughing', 'Community acquired ... : Return to clinic if symptoms worsen', 'Copy of BLOOD COUNT, PLATELET, AUTOMATED (85049)', 'Coronary Artery Disease', 'Coronary Bypass (1997/11/01)', 'Costal chondritis', 'Cough productive of greenish sputum, 2 days', 'Coumadin - 2.5mg by mouth every other day starting 11/2/2012', 'Coumadin - 5mg by mouth every other day starting 11/1/2012', 'Creatinine - 1.5 mg/dL (abnormal)', 'Current every day smoker', 'Current some day smoker', 'Diabetic neuropathy', 'Diet and exercise counseling provided during visit', 'EKG (2012/10/15)', 'EKG Impression - EKG rate 60s, A fib, LBBB', 'Echo EF - 55% (normal)', 'Flomax - 0.4mg by mouth once daily', 'Former smoker', 'Generalized obesity', 'HCT (HEMATOCRIT) (85014)', 'HGB (HEMOGLOBIN) (85018)', 'Health Issues Reviewed:', 'Heart Rate - 90 mmHg (normal)', 'Height - 70 in (normal)', 'Hgb a1c - 8% (abnormal, high alert)', 'Hyperlipidemia', 'Hypertension', 'Hypothyroidism', 'INR - 3.5 (abnormal, high alert)', 'Influenza, seasonal, injectable, preservative free', 'Insomnia', 'Instruction excluded/not available', 'Instructions given for decreased appetite including:\nEating salty foods if there are no restrictions.\nAvoid foods that are too sweet, fattening, greasy.\nTry to drink clear, warm liquids.\nSip through a straw.\nEat whenever tolerated.\nEat small meals low in fat and eat more often.', 'K-Dur - 10mEq/L by mouth once daily', 'Lantus - 36 units once daily before bed', 'Lasix - 40mg by mouth once daily', 'Lisinopril - 20mg by mouth once daily', 'Lopressor - 50mg by mouth twice daily', 'Mild fever, 2 days', 'Neurontin - 300mg by mouth three times daily', 'Never smoker', 'No Known Discharge Instructions', 'No Known Hosptial Course', 'No Known Instructions', 'Norvasc - 10mg by mouth once daily', 'Patient may continue to experience low grade fever and chills', 'Pneumonia : Status - Active', 'Pneumonia : Status - Resolved', 'Proscar - 5mg by mouth once daily', 'Return to clinic or call 911 if you experience chest pain, shortness of breath, high fevers, or intractable vomiting/diarrhea', 'Smoker. current stants unknown', 'Smoking Cessation resources and instructions material provided during visit', 'Smoking cessation resources and instuctions provided during visit', 'Started Azithromycin 500MG, 1 (one) Tablet daily, #5, 5 days starting 05/30/2013, No Refill. (500 on day one, then 250 for 4 days)', 'Started Metoprolol Tartrate 50MG, 1 (one) Tablet daily, #30, 30 days starting 05/30/2013, No Refill.', 'Started Proventil HFA 108 (90 Base)MCG/ACT, 2 (two) Puff four times daily, as needed, 1 Cartridge, 30 days starting 05/30/2013, No Refill.', 'Stress management counseling provided during admission', 'TSH - 6 m[IU]/L (abnormal, high alert)', 'Tonsillectomy (1944)', 'Total Knee Arthroplasty (1997/03/01)', 'Type II Diabetes', 'Ultram - 50mg by mouth four times daily as needed for joint pain', 'Unknown if ever smoked', 'WBC (85048)', 'Weight - 220 lb_en (normal)', 'You were admitted to Local Community Hospital on 10/2/2012 with a diagnosis of angina.  You underwent an electrocardiogram and had serial troponins drawn. Both tests were normal and your condition improved.  You were discharged from Local Community Hospital on 10/3/2012 with instructions to follow up with your primary care provider.  Should you have any questions prior to discharge, please contact a member of your healthcare team. If you have left the hospital and have any questions, please contact your primary care physician.\nInstructions:\n1.\tTake all medications as prescribed\n2.\tNo vigorous exercise\n3.\tIf you experience any of the following symptoms, call your primary care physician or return to the emergency room:\na)\tChest pain\nb)\tShortness of breath\nc)\tDizziness or light-headedness\nd)\tPain or redness at the site of any previous intravenous catheter\ne)\tAny other unusual symptoms\n4.\tSchedule a follow up appointment with your primary care physician in one week.', 'You were admitted to Local Community Hospital on 10/2/2012 with a diagnosis of angina. You underwent an electrocardiogram and had serial troponins drawn. Both tests were normal and your condition improved. \n\t\t\t\t\tYou were discharged from Local Community Hospital on 10/3/2012 with instructions to follow up with your primary care provider. Should you have any questions prior to discharge, please contact a member of your \n\t\t\t\t\thealthcare team. If you have left the hospital and have any questions, please contact your primary care physician.', 'You were admitted to Local Community Hospital on 10/2/2012 with a diagnosis of left maxillary sinus mass. You underwent a biopsy of the sinus mass and were treated with IV antibiotics. \n\t\t\t\t\tYou tolerated the procedure without complications and your condition improved. You were discharged from Local Community Hospital on 10/5/2012 with instructions to follow up with Dr. Rodriguez. \n\t\t\t\t\tShould you have any questions prior to discharge, please contact a member of your healthcare team. \n\t\t\t\t\tIf you have left the hospital and have any questions, please contact your primary care physician.', 'Zocor - 40mg by mouth once daily before bed', 'denies sexual activity due to impotence ', 'diet and exercise counseling material provided during visit', 'diet and exercise counseling provided during visit', 'etoh (alcohol) daily, patient reports varies from 1 to many cocktails per day', 'gliburide - 2.5mg by mouth once daily', 'miodarone - 200mg by mouth two times daily', 'resources and instructions provided during visit', 'retired corporate executive', 'synthroid - 0.1mg by mouth once daily']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.act.text.reference.value,4,"['#ID0EDDEACA', '#allergyCommentsID2', '#problemCommentsId0']"
ClinicalDocument.informationRecipient.intendedRecipient.id.extension,44,"['0', '100610', '23456', '3']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.performer.assignedEntity.id.root,2,['2.16.840.1.113883.19.5.9999.456']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.code.codeSystem,2,['2.16.840.1.113883.6.101']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.templateId.root,12,['2.16.840.1.113883.10.20.22.4.16']
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.assignedPerson.name.nullFlavor,36,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.specimen.specimenRole.specimenPlayingEntity.code.codeSystemName,2,['Specimen Source']
ClinicalDocument.component.structuredBody.component.section.entry.observation.performer.assignedEntity.addr.state.@value,38,"['MA', 'NC', 'OR']"
ClinicalDocument.recordTarget.patientRole.patient.maritalStatusCode.nullFlavor,2,['UNK']
ClinicalDocument.recordTarget.patientRole.patient.languageCommunication.preferenceInd.value,278,"['false', 'true']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.author.assignedAuthor.addr.postalCode.nullFlavor,10,['UNK']
ClinicalDocument.dataEnterer.assignedEntity.addr.postalCode.nullFlavor,2,['NI']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.author.assignedAuthor.id.extension,4,"['1569874562', '5860476014']"
ClinicalDocument.component.structuredBody.component.section.entry.act.templateId.root,330,"['2.16.840.1.113883.10.20.1.30', '2.16.840.1.113883.10.20.22.4.12', '2.16.840.1.113883.10.20.22.4.20', '2.16.840.1.113883.10.20.22.4.3', '2.16.840.1.113883.10.20.22.4.30', '2.16.840.1.113883.10.20.22.4.33', '2.16.840.1.113883.10.20.22.4.34', '2.16.840.1.113883.10.20.22.4.35', '2.16.840.1.113883.10.20.22.4.39', '2.16.840.1.113883.10.20.22.4.51', '2.16.840.1.113883.10.20.22.4.60', '2.16.840.1.113883.10.20.22.4.65', '2.16.840.1.113883.10.20.22.60', '2.16.840.1.113883.10.20.6.2.5', '2.16.840.1.113883.10.20.6.2.6']"
ClinicalDocument.recordTarget.patientRole.patient.religiousAffiliationCode.codeSystem,226,"['2.16.840.1.113883.1.11.19185', '2.16.840.1.113883.5.1076']"
ClinicalDocument.informationRecipient.intendedRecipient.addr.city.@value,42,"['Harrisburg', 'Portland', 'Washington']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.representedOrganization.addr.streetAddressLine.@value,6,"['1004 Healthcare Dr.\n                                                practice', '795 Horsham Road', '99 Sycamore Street', 'Suite 3']"
ClinicalDocument.authenticator.time.value,260,"['20050329224411+0500', '20110714090051-0400', '20120130080051-0500', '20120806', '20120806100051-0400', '20120813', '20120920100051-0400', '20121002100051-0400', '20130130080051-0500', '20130218031000-0500', '20130530175210-0400', '20130718111836-0400', '20130718161754-0400', '20140416115439', '20140416115440', '20140416115441', '20140416115442', '20140416115443', '20140416115444', '20140416115445', '20140416115446', '20140416115447', '20140416115448', '20140416115449', '20140531154732-0700']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.author.assignedAuthor.assignedPerson.name.suffix.@value,4,"['MD', 'PA']"
ClinicalDocument.authorization.consent.code.code,6,"['CONSP-X', 'N']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.act.performer.templateId.root,2,['2.16.840.1.113883.10.20.22.4.87']
